Country,Year,Medal
Soviet Union,1988,No medal
Soviet Union,1988,No medal
Guyana,2016,No medal
Guyana,1988,No medal
Georgia,2016,No medal
Portugal,1988,No medal
Portugal,1988,No medal
Portugal,1992,No medal
Portugal,1996,No medal
Portugal,2008,No medal
Portugal,2012,No medal
Portugal,1988,No medal
France,1996,No medal
Switzerland,2012,No medal
Portugal,2016,No medal
Brazil,2004,No medal
Angola,2008,No medal
Brazil,1984,No medal
Cuba,1980,No medal
Venezuela,1996,No medal
Portugal,1980,No medal
Portugal,1980,No medal
Portugal,1980,No medal
France,1988,No medal
Colombia,2012,No medal
Colombia,2016,No medal
Colombia,2012,No medal
Spain,2016,Bronze
Djibouti,2016,No medal
Russia,2016,No medal
Russia,2000,No medal
Russia,2008,Bronze
Soviet Union,1980,Gold
France,2004,Gold
France,2008,Gold
France,2012,No medal
France,2016,No medal
Ethiopia,2012,No medal
United States,1988,No medal
West Germany,1988,No medal
West Germany,1988,No medal
Iran,2008,No medal
Bangladesh,2008,No medal
Iraq,2004,No medal
Saudi Arabia,1984,No medal
Saudi Arabia,1984,No medal
Jordan,2012,No medal
Jordan,2016,No medal
Malaysia,1992,No medal
Malaysia,1996,No medal
Palestine,1996,No medal
Palestine,2012,No medal
Jordan,2000,No medal
Jordan,2004,No medal
Kazakhstan,1996,No medal
Sudan,2004,No medal
Sudan,2008,No medal
Palestine,2004,No medal
China,2000,No medal
Kenya,1988,No medal
Nigeria,2008,No medal
Nigeria,2008,No medal
Libya,2004,No medal
Jordan,2016,Gold
Somalia,2004,No medal
Palestine,2016,No medal
Jordan,2012,No medal
Saudi Arabia,2016,No medal
Mexico,1996,No medal
Kuwait,1984,No medal
Kuwait,1984,No medal
Japan,2004,No medal
Mexico,2004,No medal
Soviet Union,1980,No medal
Soviet Union,1980,Bronze
Soviet Union,1980,Gold
Kazakhstan,2008,No medal
Kazakhstan,2012,No medal
Qatar,2004,No medal
Jordan,1988,No medal
Russia,2008,No medal
Russia,2012,No medal
Romania,2008,No medal
Romania,2008,Bronze
Romania,2008,No medal
Romania,2008,No medal
France,2012,Gold
Spain,1996,No medal
Cuba,2000,No medal
Cuba,2012,No medal
Spain,1992,No medal
Uruguay,1988,No medal
Uruguay,1988,No medal
Puerto Rico,1992,Bronze
Colombia,1992,No medal
Canada,2016,No medal
Canada,2016,No medal
Venezuela,2008,No medal
