Country,Year,Medal
United States,2000,No medal
United States,2000,No medal
United States,2000,No medal
United States,2000,No medal
United States,2000,No medal
United States,2000,No medal
United States,2000,No medal
United States,2000,No medal
United States,2004,No medal
United States,2004,Silver
United States,2004,No medal
United States,2004,No medal
United States,2004,No medal
United States,2004,No medal
United States,2004,No medal
Canada,1984,No medal
Australia,1984,No medal
Australia,1988,No medal
Australia,1996,No medal
Australia,2004,No medal
Australia,1988,No medal
Australia,1988,No medal
Great Britain,1984,No medal
Great Britain,1984,No medal
Canada,1992,No medal
Bermuda,1984,No medal
United States,1984,Silver
United States,1988,Silver
United States,1992,No medal
United States,1992,No medal
United States,1984,Silver
United States,1984,Gold
Australia,1988,No medal
Australia,1988,No medal
Guam,1996,No medal
United States,2000,No medal
United States,2004,No medal
Hong Kong,2004,No medal
Hong Kong,2008,No medal
Hong Kong,2008,No medal
Hong Kong,2012,No medal
Hong Kong,2012,No medal
New Zealand,1988,No medal
New Zealand,1988,No medal
New Zealand,1992,No medal
New Zealand,1992,No medal
Great Britain,1992,No medal
Bahamas,2016,No medal
Barbados,2016,No medal
South Africa,2004,No medal
South Africa,2008,No medal
South Africa,2012,No medal
Australia,2000,No medal
Australia,2004,No medal
Australia,1984,No medal
Australia,1984,No medal
Australia,1984,No medal
Australia,1984,No medal
Australia,1984,No medal
South Africa,2004,No medal
South Africa,2004,No medal
United States,1996,Gold
Great Britain,1988,No medal
Australia,2016,Gold
Australia,2016,No medal
Australia,2016,Silver
Great Britain,2012,No medal
Great Britain,2016,Silver
Australia,1980,No medal
Australia,1980,No medal
New Zealand,2012,No medal
New Zealand,2016,No medal
Jamaica,2008,No medal
Jamaica,2012,No medal
Jamaica,2016,No medal
Great Britain,2012,No medal
Great Britain,2012,Silver
Great Britain,2016,No medal
Great Britain,2016,No medal
Great Britain,2016,No medal
Great Britain,2016,No medal
Great Britain,2016,Bronze
Great Britain,2016,No medal
Great Britain,2016,No medal
Great Britain,2012,Gold
Zimbabwe,1980,No medal
Great Britain,2008,Gold
New Zealand,1992,No medal
New Zealand,1984,No medal
United States,1996,Gold
Great Britain,1992,No medal
Puerto Rico,1988,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1984,No medal
Costa Rica,2004,No medal
Philippines,1984,No medal
Philippines,1984,No medal
Philippines,1984,No medal
Philippines,1984,No medal
Great Britain,2016,No medal
Australia,2004,No medal
Australia,2004,No medal
France,2000,No medal
Canada,1984,No medal
Canada,2000,No medal
Great Britain,2016,No medal
Great Britain,2016,Silver
France,1996,No medal
Australia,2000,No medal
Sri Lanka,2000,No medal
Germany,2016,No medal
Germany,2004,Bronze
United States,1992,No medal
Myanmar,2000,No medal
Myanmar,2000,No medal
Myanmar,2000,No medal
Thailand,2008,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
Great Britain,1984,No medal
Great Britain,1984,No medal
Great Britain,1984,No medal
Great Britain,1984,No medal
Great Britain,1984,No medal
Great Britain,1984,No medal
Great Britain,1984,No medal
Great Britain,1984,No medal
New Zealand,2000,No medal
Brazil,1984,Silver
Brazil,1988,Silver
Great Britain,2000,No medal
Great Britain,2004,Bronze
Great Britain,2008,No medal
United States,2008,Silver
United States,2012,Gold
Austria,2000,No medal
Austria,2000,No medal
Austria,2000,No medal
United States,1988,No medal
Australia,1996,No medal
Australia,2000,No medal
Netherlands,2000,Gold
United States,2008,No medal
United States,2008,Gold
Hong Kong,2000,No medal
Great Britain,2008,No medal
Great Britain,2008,No medal
Great Britain,2008,No medal
Great Britain,2008,No medal
Malta,2016,No medal
Solomon Islands,2012,No medal
Solomon Islands,2016,No medal
Poland,2008,No medal
Poland,2012,No medal
New Zealand,2004,No medal
Netherlands,1980,No medal
Netherlands,1980,No medal
Netherlands,1980,No medal
Austria,1984,No medal
Austria,1984,No medal
West Germany,1984,No medal
West Germany,1984,No medal
West Germany,1984,No medal
West Germany,1984,No medal
West Germany,1984,No medal
West Germany,1984,No medal
West Germany,1984,No medal
West Germany,1984,No medal
West Germany,1988,No medal
West Germany,1988,No medal
West Germany,1988,No medal
West Germany,1988,No medal
West Germany,1988,No medal
West Germany,1988,No medal
West Germany,1988,No medal
West Germany,1988,No medal
Switzerland,1984,No medal
South Africa,1992,No medal
United States,2016,No medal
East Germany,1980,Silver
United States,2008,No medal
United States,2008,No medal
Great Britain,2004,No medal
United States,1984,No medal
United States,1988,No medal
Netherlands,1980,No medal
Great Britain,1996,No medal
East Germany,1988,No medal
Germany,1992,No medal
United States,1996,No medal
Great Britain,2012,No medal
Cayman Islands,1984,No medal
Cayman Islands,1984,No medal
Canada,2016,No medal
Australia,2000,No medal
Australia,2004,No medal
New Zealand,1996,No medal
New Zealand,1996,No medal
Finland,1988,No medal
East Germany,1980,Gold
Germany,2008,No medal
Germany,2008,No medal
Germany,2008,No medal
Canada,2004,No medal
Canada,2004,No medal
Canada,2008,No medal
Canada,2008,No medal
Great Britain,1996,No medal
Germany,2004,No medal
Germany,1996,Gold
Germany,2000,No medal
Australia,1996,No medal
Australia,1988,No medal
Australia,1988,No medal
Great Britain,1980,No medal
Canada,2016,No medal
New Zealand,2012,No medal
Denmark,2012,Bronze
Denmark,2016,Silver
Indonesia,2012,No medal
Indonesia,1992,Silver
Thailand,2004,Bronze
Ghana,1984,No medal
Ghana,1984,No medal
Finland,2008,No medal
Seychelles,1984,No medal
Seychelles,1984,No medal
Seychelles,1984,No medal
Indonesia,1992,No medal
Italy,1988,No medal
Switzerland,1984,No medal
Switzerland,1988,No medal
Great Britain,1992,No medal
Great Britain,2000,No medal
Papua New Guinea,2012,No medal
Papua New Guinea,2016,No medal
Sweden,1988,No medal
Sweden,1992,Silver
Sweden,1996,Silver
Sweden,2000,Silver
Poland,2004,No medal
Poland,2008,No medal
Poland,2016,No medal
Switzerland,2012,No medal
Switzerland,1984,No medal
Switzerland,1984,Silver
Sweden,2004,No medal
Sweden,2008,No medal
Poland,1980,No medal
Indonesia,1984,No medal
Australia,1980,No medal
United States,1992,No medal
United States,2008,Gold
Poland,1996,No medal
Poland,2000,Bronze
United States,2016,No medal
East Germany,1980,No medal
United States,2000,No medal
West Germany,1984,No medal
Germany,2008,Gold
West Germany,1984,No medal
Netherlands,2008,Silver
Argentina,2000,No medal
Argentina,2004,No medal
Australia,2000,No medal
Germany,2000,No medal
Germany,2004,Bronze
Germany,2008,Gold
Germany,2012,Gold
West Germany,1984,No medal
Canada,1984,No medal
Canada,1984,No medal
Canada,1984,No medal
Canada,1984,No medal
Canada,1984,No medal
Canada,1984,No medal
South Africa,2000,No medal
South Africa,2000,No medal
South Africa,2000,No medal
South Africa,2004,No medal
United States,2000,No medal
Poland,2004,No medal
Poland,2008,No medal
Hungary,1980,No medal
Hungary,1980,Gold
Hungary,1980,No medal
Hungary,1980,No medal
Hungary,1980,No medal
Poland,2000,No medal
Poland,2008,No medal
Poland,2008,No medal
Poland,2012,Silver
Poland,2016,Gold
Poland,1980,No medal
Poland,1992,No medal
Poland,1996,No medal
Poland,2000,No medal
Poland,1992,No medal
Poland,1992,No medal
Poland,1980,No medal
Poland,2004,No medal
Poland,2008,Silver
Poland,2016,Silver
Ethiopia,2004,No medal
Canada,2016,No medal
East Germany,1988,Gold
Germany,1992,No medal
Germany,1992,No medal
Canada,2016,No medal
Austria,1992,No medal
Congo (Brazzaville),1984,No medal
Canada,1996,No medal
Canada,1996,No medal
Canada,2000,No medal
Canada,2000,No medal
Canada,2004,No medal
Canada,2004,No medal
East Germany,1988,Bronze
East Germany,1988,No medal
East Germany,1988,Bronze
Germany,1992,Gold
Australia,2000,No medal
Australia,2000,No medal
Liechtenstein,1984,No medal
Liechtenstein,1988,No medal
Switzerland,1996,No medal
Poland,2008,No medal
Germany,2016,No medal
East Germany,1980,Gold
East Germany,1980,No medal
East Germany,1980,Silver
East Germany,1980,No medal
Germany,2012,No medal
Poland,2004,No medal
Poland,2000,No medal
Poland,2012,No medal
Poland,2016,No medal
Poland,2004,No medal
Poland,2008,No medal
Poland,2012,No medal
Poland,2000,No medal
Poland,1980,No medal
Poland,2016,No medal
Poland,2016,No medal
Poland,1996,No medal
Poland,1988,No medal
Poland,1988,Bronze
Poland,1988,No medal
Poland,1992,No medal
Poland,1992,No medal
Poland,1992,No medal
Poland,2008,No medal
Poland,2012,No medal
Poland,2016,No medal
Poland-2,1996,No medal
Poland-2,2000,No medal
Poland,2008,No medal
Poland,2008,No medal
Poland,1980,No medal
Poland,1980,No medal
Poland,2008,No medal
Poland,2008,No medal
Poland,2012,No medal
Poland,2012,No medal
Poland,1980,No medal
Poland,2012,No medal
Ethiopia,2012,No medal
Ethiopia,2016,No medal
Ethiopia,2000,Gold
Ethiopia,1980,No medal
Ethiopia,1980,No medal
Ethiopia,1980,No medal
Ethiopia,1996,No medal
Ethiopia,1980,No medal
United States,1984,No medal
Germany,1996,No medal
East Germany,1988,Silver
Austria,2016,No medal
West Germany,1984,No medal
West Germany,1988,No medal
East Germany,1980,No medal
United States,1996,No medal
United States,2000,No medal
Switzerland,1996,No medal
Switzerland,1996,No medal
Germany,2016,No medal
Czechoslovakia,1988,No medal
Czechoslovakia,1988,No medal
France,1992,No medal
Germany,2016,Bronze
Netherlands,1988,Bronze
Netherlands,1992,No medal
United States,2000,No medal
Germany,2004,Bronze
Germany,2004,No medal
Germany,2004,Gold
Tonga,1996,Silver
East Germany,1988,No medal
East Germany,1988,No medal
East Germany,1988,No medal
Germany,2004,No medal
Germany,2012,No medal
Germany,2016,No medal
Canada,2004,Silver
Belgium,2000,No medal
Belgium,2000,No medal
Argentina,1996,No medal
Argentina,2004,Gold
Hungary,2004,No medal
West Germany,1984,Silver
Germany,2008,No medal
Germany,2012,No medal
Bermuda,2016,No medal
West Germany,1988,No medal
Germany,1992,Silver
Germany,1996,No medal
Germany,2004,No medal
Poland,1992,No medal
Poland,1992,No medal
Poland,1996,No medal
Poland,1996,No medal
Poland,2000,Silver
Poland,1980,No medal
Poland,1988,No medal
Poland,1992,No medal
Poland,1996,Gold
Poland,2000,No medal
Poland,2004,No medal
United States,2004,No medal
Poland,2004,No medal
Germany,2008,No medal
United States,2000,Gold
Cameroon,2000,Gold
Cote d'Ivoire,1988,No medal
South Korea,1992,No medal
South Korea,1996,No medal
South Korea,2012,No medal
South Korea,2016,No medal
North Korea,2008,Bronze
South Korea,2012,No medal
South Korea,2012,Gold
South Korea,2016,No medal
Canada,2004,No medal
Canada,2004,No medal
Canada,2004,No medal
Canada,2004,No medal
Canada,2004,No medal
Canada,2004,No medal
Canada,2004,No medal
Canada,2004,No medal
Canada,2008,No medal
Canada,2008,No medal
Canada,2008,No medal
Canada,2008,No medal
Canada,2008,No medal
Canada,2008,No medal
Canada,2008,No medal
Hong Kong,2012,No medal
Hong Kong,2012,No medal
Hong Kong,2012,No medal
Hong Kong,2012,No medal
Hong Kong,2012,No medal
Hong Kong,2000,No medal
Hong Kong,2000,No medal
Malaysia,2000,No medal
Malaysia,2004,No medal
Malaysia,2008,No medal
Hong Kong,1992,No medal
Hong Kong,2016,No medal
Hong Kong,2016,No medal
Singapore,2012,No medal
Singapore,2016,No medal
Cuba,2000,No medal
Hong Kong,2008,No medal
Singapore,2012,No medal
Chinese Taipei,2016,No medal
Singapore,1992,No medal
Singapore,1992,No medal
Hong Kong,2008,No medal
Hong Kong,2012,No medal
Malaysia,2016,No medal
Malaysia,2016,No medal
Hong Kong,1996,No medal
Hong Kong,2000,No medal
Hong Kong,2004,No medal
Hong Kong,2004,No medal
Hong Kong,2008,No medal
Hong Kong,2012,No medal
Hong Kong,1984,No medal
Hong Kong,1984,No medal
Hong Kong,1984,No medal
Hong Kong,1984,No medal
Hong Kong,1984,No medal
United States-2,2000,No medal
Hong Kong,1988,No medal
Malaysia,2008,No medal
Malaysia,2004,No medal
Malaysia,2008,No medal
Thailand,1992,No medal
Thailand,1992,No medal
New Zealand,2004,No medal
Hong Kong,1988,No medal
Hong Kong,1992,No medal
Hong Kong,1996,No medal
Hong Kong,2012,No medal
Hong Kong,1992,No medal
Singapore,1996,No medal
Hong Kong,1984,No medal
Thailand,2016,Bronze
Thailand,2000,No medal
South Korea,2016,No medal
South Korea,2016,No medal
Canada,2016,No medal
Canada,2016,No medal
Canada,2016,No medal
Canada,2016,No medal
South Korea,2016,No medal
United States,1996,No medal
New Zealand,2012,No medal
Great Britain,1988,No medal
Great Britain,1988,No medal
Great Britain,1992,No medal
Great Britain,1996,No medal
Great Britain,1996,No medal
Spain,2004,No medal
Canada,1992,No medal
South Africa,2008,No medal
South Africa,2008,No medal
United States,2004,No medal
Canada,1992,No medal
Canada,1992,No medal
Canada,1992,No medal
Canada,1992,No medal
Canada,1992,No medal
Canada,1992,No medal
Australia,2016,No medal
Australia,2016,No medal
Spain,2000,No medal
United States,1984,Gold
South Africa,2008,No medal
South Africa,2008,No medal
Australia,2004,No medal
Australia,2004,No medal
Australia,2008,No medal
Australia,2008,No medal
Australia,1988,No medal
Australia,1992,Bronze
United States,1984,Gold
Great Britain,2008,No medal
Great Britain,2012,No medal
Australia,1992,No medal
Australia,1992,No medal
Australia,1996,No medal
Australia,1996,Gold
Australia,2000,Silver
Australia,2004,No medal
Canada,1988,No medal
Canada,1992,No medal
Canada,1996,No medal
Australia,1984,No medal
Australia,1996,Gold
Australia,2000,Silver
Great Britain,1988,Bronze
United States,1984,Silver
Australia,2000,Gold
Australia,1984,No medal
Australia,1984,Bronze
Australia,1988,No medal
Australia,1988,No medal
United States,1984,No medal
Great Britain,2008,No medal
Canada,2000,No medal
Canada,2000,No medal
Canada,1996,Silver
New Zealand,1992,No medal
New Zealand,2016,Silver
Great Britain,2000,No medal
United States,2016,No medal
Australia,1984,No medal
Australia,1984,Gold
Australia,1988,Silver
Australia,1988,Bronze
Australia,1996,Bronze
Australia,2000,No medal
Australia,2004,No medal
Australia,2008,No medal
Australia,2012,No medal
Netherlands Antilles,1984,No medal
Netherlands Antilles,1988,No medal
Netherlands Antilles,1988,No medal
Australia,2012,No medal
Canada,1992,No medal
Ireland,1988,No medal
Canada,2016,No medal
New Zealand,2016,No medal
Australia,1996,No medal
Australia,2000,No medal
Australia,2000,Gold
Australia,2008,No medal
Australia,2012,No medal
Canada,2000,No medal
Canada,2004,No medal
United States,1984,Silver
Australia,1996,No medal
Australia,2004,No medal
New Zealand,1996,No medal
New Zealand,2000,No medal
United States,2000,No medal
Australia,1992,Silver
Australia,1996,No medal
Australia,2000,No medal
Great Britain,2016,No medal
United States,2004,Bronze
United States Virgin Islands,1984,No medal
United States Virgin Islands,1984,No medal
United States Virgin Islands,1984,No medal
United States Virgin Islands,1984,No medal
United States Virgin Islands,1984,No medal
United States Virgin Islands,1984,No medal
United States Virgin Islands,1984,No medal
United States Virgin Islands,1984,No medal
Australia,2004,Gold
United States,2008,No medal
New Zealand,2004,No medal
New Zealand,2008,No medal
New Zealand,1984,No medal
New Zealand,1988,No medal
Great Britain,1984,No medal
Malaysia,2016,No medal
Mexico,2004,No medal
New Zealand,2008,No medal
New Zealand,2008,No medal
Austria,1984,No medal
Austria,1984,No medal
Austria,1980,No medal
Netherlands,2004,Bronze
Netherlands,2008,Silver
Ethiopia,1996,No medal
Ethiopia,2000,No medal
Poland,1980,No medal
Poland,1980,No medal
Poland,1980,Silver
Germany,2004,No medal
Germany,2004,No medal
Germany,2008,No medal
Germany,2012,No medal
Germany,2012,No medal
Germany,2016,No medal
Germany,2016,No medal
Denmark,1980,No medal
United States,2016,No medal
United States,2016,Gold
Canada,2012,No medal
Canada,2012,No medal
Australia,2012,No medal
Australia,2016,No medal
Australia,2016,Bronze
Canada,1984,No medal
Canada,1988,No medal
Canada,1992,Gold
Canada,1992,Gold
Australia,2008,No medal
Australia,2012,No medal
Germany,2008,No medal
Germany,2004,No medal
Hungary,1996,No medal
West Germany,1984,No medal
Poland,2004,No medal
Ethiopia,2012,No medal
Netherlands,1992,No medal
Netherlands,1992,No medal
Netherlands,1992,No medal
Netherlands,1996,No medal
Netherlands,1996,No medal
Netherlands,1996,No medal
Netherlands,2000,Bronze
Netherlands,2000,No medal
Netherlands,2000,No medal
Netherlands,2000,No medal
Netherlands,1996,No medal
Netherlands,1992,No medal
Belgium,2000,No medal
Belgium,2000,No medal
Nigeria,1980,No medal
Denmark,2008,No medal
Denmark,2012,No medal
Denmark,2016,No medal
Canada,2012,No medal
Canada,2012,No medal
United States,2012,No medal
United States,2016,No medal
United States,2016,Bronze
Barbados,1984,No medal
Barbados,1984,No medal
Barbados,1984,No medal
Poland,1992,No medal
Poland,1980,No medal
Poland,1980,No medal
Poland,1980,No medal
Poland,1980,No medal
Poland,1980,No medal
Poland,1980,No medal
Poland,1980,No medal
Poland,1980,No medal
Poland,1980,No medal
Poland,1992,Bronze
Poland,1996,No medal
Ghana,2000,No medal
Bahamas,1984,No medal
Great Britain,1980,No medal
West Germany,1988,No medal
Great Britain,1980,No medal
Great Britain,1980,No medal
United States,2004,No medal
United States,2008,Silver
United States,2012,No medal
Ireland,2016,No medal
Ireland,2016,No medal
Canada,2008,No medal
Australia,2008,Bronze
United States,1996,No medal
Australia,2012,No medal
Australia,2012,No medal
Great Britain,2008,No medal
Jamaica,1988,No medal
Jamaica,1988,No medal
Jamaica,1992,No medal
Canada,1984,No medal
Canada,1984,Silver
Great Britain-2,1992,No medal
Canada,2012,No medal
Australia,1984,No medal
Canada,1988,No medal
New Zealand,1988,Bronze
New Zealand,1992,No medal
New Zealand,1996,No medal
Great Britain-1,2004,No medal
New Zealand,2016,No medal
Great Britain,2000,No medal
Great Britain,2008,No medal
Hong Kong,1988,No medal
Hong Kong,1988,No medal
Hong Kong,1988,No medal
Hong Kong,1988,No medal
Hong Kong,1992,No medal
Hong Kong,1992,No medal
Hong Kong,1992,No medal
Hong Kong,1992,No medal
Hong Kong,1992,No medal
Great Britain,1980,No medal
United States,1996,No medal
Bermuda,2000,No medal
France,2004,No medal
United States,1988,No medal
Great Britain-2,1996,No medal
Great Britain-1,1996,No medal
Great Britain-2,2000,Bronze
Great Britain-2,2000,No medal
United States,1984,No medal
Poland,2000,Silver
Poland,2004,Bronze
Poland,1980,No medal
Poland,1980,No medal
Poland,1988,No medal
Australia,2008,No medal
Australia,2008,No medal
Austria,1996,No medal
Austria,2000,No medal
Poland,1988,No medal
Poland,2012,No medal
Poland,1988,Gold
Poland,1992,No medal
Poland,1996,Gold
Poland,2000,No medal
Canada,2008,No medal
Canada,2008,No medal
Australia,2012,No medal
Poland,1980,Silver
China,2016,No medal
China,1996,No medal
Chinese Taipei,2004,No medal
Chinese Taipei,2008,No medal
Chinese Taipei,2016,No medal
Chinese Taipei,2016,No medal
Chinese Taipei,1984,No medal
Chinese Taipei,1988,No medal
Chinese Taipei,1988,No medal
Hong Kong,1996,No medal
China,2008,No medal
China,1996,No medal
China,1988,Bronze
China,1992,No medal
China,2000,No medal
China,2004,No medal
China,2008,No medal
China,2016,No medal
United States,2012,No medal
Brazil,2016,Silver
Brazil,2016,No medal
China,2016,No medal
China,2004,No medal
China,2004,Silver
Chinese Taipei,2004,No medal
Chinese Taipei,2004,Bronze
Chinese Taipei,2008,No medal
Chinese Taipei,2008,No medal
United States,2016,No medal
United States,2016,No medal
Germany,2008,No medal
Germany,2008,No medal
Germany,2012,No medal
Germany,2012,No medal
China,1984,No medal
China,1984,Bronze
China,1984,No medal
China,1984,No medal
China,1984,No medal
China,1984,No medal
China,2016,No medal
China,2016,No medal
China,2012,Silver
China,2008,Gold
China,2012,Gold
China,2016,No medal
Hong Kong,2008,No medal
Chinese Taipei,1996,No medal
China,1984,No medal
China,1988,No medal
China,2004,No medal
China,2008,No medal
Chinese Taipei,1992,No medal
Chinese Taipei,1996,No medal
China,2004,Silver
Australia,2008,No medal
Australia,2008,Silver
Australia,2012,No medal
Australia,2016,No medal
Chinese Taipei,1984,No medal
Chinese Taipei,1984,No medal
Chinese Taipei,1984,No medal
Chinese Taipei,1988,No medal
Chinese Taipei,1988,No medal
Chinese Taipei,1988,No medal
China,2004,Silver
China,2004,Gold
China,2008,Bronze
China,2008,Gold
China,2012,Gold
China,2012,Gold
China,2016,Gold
China,1996,No medal
Chinese Taipei,2000,No medal
Chinese Taipei,2000,No medal
Chinese Taipei,2000,No medal
Chinese Taipei,2004,No medal
Chinese Taipei,2004,No medal
Dominican Republic,2004,No medal
Dominican Republic,2008,No medal
Dominican Republic,2008,No medal
China,2004,No medal
China,2004,No medal
China,2004,No medal
China,2004,No medal
China,2008,No medal
China,2012,No medal
China,2012,No medal
China,2008,No medal
China,2012,No medal
Chinese Taipei,1988,No medal
China,1992,No medal
China,1996,No medal
China,2016,No medal
China,1984,No medal
China,2008,No medal
South Korea,2004,Silver
South Korea,2012,No medal
South Korea,2016,No medal
Chinese Taipei,1992,Silver
China,1984,Gold
China,2008,No medal
China,2012,No medal
China,2016,No medal
China,2004,No medal
Hong Kong,1992,No medal
Hong Kong,1992,No medal
Hong Kong,1992,No medal
Chinese Taipei,1996,No medal
Chinese Taipei,1996,No medal
Chinese Taipei,1996,No medal
China,1988,No medal
Chinese Taipei,1988,No medal
Chinese Taipei-2,1988,No medal
Chinese Taipei,1996,No medal
Chinese Taipei,2004,No medal
Chinese Taipei,2008,No medal
China,2008,No medal
China,1992,No medal
China,2000,Silver
China,1984,Bronze
China,1984,Gold
Hong Kong,1992,No medal
China,1984,Bronze
China,2004,No medal
China,2008,No medal
China,1984,No medal
China,2012,No medal
China,1996,No medal
China,1996,No medal
China,1996,No medal
China,2012,Silver
China,1996,Silver
China,2000,No medal
China,2004,No medal
China,2008,Silver
China,1996,No medal
China,1996,No medal
China,2016,No medal
China,2008,No medal
France,1996,No medal
France,1996,No medal
France,2000,No medal
France,2004,No medal
East Germany,1980,Silver
Poland,1980,No medal
United States,2012,No medal
United States,2012,Silver
Finland,2012,Bronze
South Africa,1992,No medal
South Africa,1992,No medal
United States,2000,Silver
United States,2000,Bronze
United States,2004,No medal
United States,2004,No medal
United States,2008,No medal
United States,2008,No medal
East Germany,1980,Bronze
United States,1996,No medal
Switzerland,1992,No medal
Switzerland,1992,No medal
Switzerland,1992,No medal
Germany,1996,No medal
Germany,2004,Bronze
West Germany,1984,Silver
Germany,2000,Bronze
Switzerland,1984,No medal
Switzerland,1984,No medal
Switzerland,1984,No medal
Switzerland,1984,No medal
Switzerland,1984,No medal
Switzerland,1984,No medal
Switzerland,1984,No medal
Switzerland,1984,No medal
Australia,2004,No medal
Netherlands,1992,No medal
United States,2008,No medal
Canada,1988,No medal
Italy,2012,No medal
United States,2000,No medal
Germany,1996,No medal
West Germany,1988,Bronze
Venezuela,1980,No medal
Venezuela,1984,No medal
Great Britain,1996,No medal
Great Britain,2000,No medal
New Zealand,1996,No medal
New Zealand,2004,No medal
Poland,1980,No medal
Poland,2000,No medal
Poland,2000,No medal
Australia,2004,Silver
Australia,2008,Bronze
Australia,1984,No medal
Australia,1988,No medal
Australia,1992,No medal
Poland,2012,No medal
Poland,2016,No medal
Poland,2016,No medal
Great Britain,1992,No medal
Great Britain,1996,No medal
Canada,2012,No medal
United States,1984,Bronze
United States,2004,No medal
United States,2004,Gold
Germany,2004,No medal
Germany,2004,Gold
Germany,2008,Bronze
Germany,2008,Silver
United States,2016,No medal
Germany,1992,No medal
Germany,1996,Gold
Germany,2000,No medal
Uruguay,1996,No medal
Uruguay,2000,Silver
Uruguay,2004,No medal
Uruguay,2004,No medal
Uruguay,2008,No medal
New Zealand,1996,No medal
Great Britain,2000,No medal
Great Britain,2004,Bronze
Great Britain,2004,No medal
United States,2008,No medal
United States Virgin Islands,1988,No medal
United States Virgin Islands,1992,No medal
Jamaica,2000,No medal
Jamaica,2016,No medal
Poland,2016,No medal
Germany,2000,No medal
Poland,2004,No medal
Poland,1996,No medal
Poland,1996,No medal
Poland,2000,No medal
Poland,2000,No medal
Poland,2004,No medal
Poland,2008,No medal
Poland,2008,No medal
Germany,2008,No medal
United States,1984,No medal
United States,1984,No medal
Poland,1980,Bronze
Poland,1980,No medal
Switzerland,2016,No medal
Poland,2016,No medal
India,2004,No medal
Azerbaijan,2000,No medal
Spain,2016,No medal
Brazil,1980,No medal
Brazil,1984,Silver
Greece,1984,No medal
Greece,2000,No medal
Greece,1996,No medal
Greece,2000,No medal
Greece,2004,No medal
Spain,2016,Silver
Spain,2000,Silver
Brazil,2012,No medal
Brazil,2016,No medal
Brazil,2016,No medal
India,1996,No medal
Spain,2000,Bronze
Brazil,1992,No medal
Brazil,1996,No medal
Azerbaijan,2000,No medal
Azerbaijan,2004,No medal
Belgium,2008,No medal
China,2008,Gold
China,1988,No medal
China,1988,No medal
China,1992,No medal
China,1996,No medal
China,2000,Bronze
China,2000,No medal
China,1996,No medal
China,2004,Gold
China,2008,Gold
France,2008,No medal
France,2012,No medal
China,2016,Gold
China,1988,No medal
China,1992,No medal
China,1992,No medal
China,1996,No medal
China,1996,No medal
China,2000,No medal
China,2000,No medal
China,2016,No medal
China,1996,Bronze
China,2000,No medal
China,2000,Gold
China,1996,Bronze
China,1996,Silver
China,2000,No medal
China,2000,Gold
China,2000,No medal
China,2000,No medal
China,2000,No medal
China,2000,No medal
China,1988,No medal
China,2004,No medal
China,2004,No medal
China,2004,No medal
China,2004,No medal
China,2004,No medal
China,2004,No medal
China,2004,No medal
China,2008,No medal
China,2008,Gold
China,2008,No medal
China,2008,No medal
China,2008,No medal
China,2008,Gold
China,1984,No medal
China,1996,No medal
China,1992,No medal
China,1992,No medal
China,2004,No medal
China,1996,Silver
China,2000,No medal
China,2004,No medal
China,1988,No medal
China,1988,No medal
China,1988,No medal
China,1992,No medal
China,1992,No medal
China,1992,No medal
China,2008,No medal
China,1988,No medal
China,2008,No medal
China,2012,No medal
China,2012,No medal
China,2016,No medal
China,2008,Silver
China,2000,No medal
China,2000,No medal
China,2000,No medal
China,2000,No medal
China,2004,No medal
China,2004,No medal
China,1988,No medal
China,2012,No medal
China,2016,No medal
China,2016,No medal
China,1988,No medal
China,1988,No medal
China-2,2008,No medal
Timor Leste,2008,No medal
China,2008,No medal
China,2004,No medal
China,2008,No medal
China,2012,No medal
China,2016,No medal
China,1988,No medal
Singapore,2008,No medal
China,2000,No medal
China,2000,Gold
China,2000,No medal
China,2000,No medal
China,2000,No medal
China,2000,No medal
China,2000,No medal
China,2004,No medal
China,2004,No medal
China,2004,No medal
China,2004,No medal
China,2004,No medal
China,2004,No medal
China,2004,No medal
China,2004,No medal
China,2004,Gold
China,2004,No medal
China,2008,No medal
China,2012,No medal
China,2012,No medal
China,2016,No medal
China,2016,No medal
Greece,2008,No medal
China,2016,No medal
China,1988,No medal
China,1988,Silver
China,1992,Bronze
China,1996,Gold
China,2000,Gold
China,2000,Gold
China,1988,No medal
China-1,2000,No medal
China,1984,Bronze
China,2008,No medal
Azerbaijan,2012,Bronze
China,2012,Gold
China,2016,No medal
China,2016,Silver
China,2016,No medal
China-2,2012,Silver
China-2,2016,No medal
Canada-2,2000,No medal
China,1996,No medal
China,2000,No medal
China,2004,No medal
China,1992,No medal
China,1996,No medal
China,2004,No medal
China,2008,No medal
China,2012,Silver
China,1984,No medal
China,1988,No medal
China,1996,No medal
China,1996,No medal
China,1984,Gold
China,1988,Bronze
China,1988,No medal
China,1992,No medal
China,1992,No medal
China,2008,No medal
Germany,2004,No medal
Germany,2008,No medal
China,1996,Silver
China,2000,No medal
China,2012,No medal
China,2016,Silver
China,2016,No medal
China,2016,No medal
Poland,2008,No medal
Poland,2008,No medal
China,1988,No medal
China,2012,No medal
